id,domain,label,golden_response
c1,cardiology,pass,"{""icd_code"":""I10"",""description"":""Essential hypertension""}"
c2,cardiology,pass,"{""icd_code"":""I25.10"",""description"":""Atherosclerotic heart disease""}"
c3,cardiology,pass,"{""icd_code"":""I48.0"",""description"":""Paroxysmal atrial fibrillation""}"
c4,cardiology,needs_revision,"{""icd_code"":""I50.9"",""description"":""Heart failure unspecified""}"
c5,cardiology,pass,"{""icd_code"":""I21.3"",""description"":""ST elevation MI""}"
c6,cardiology,needs_revision,"{""icd_code"":""I63.9"",""description"":""Cerebral infarction unspecified""}"
c7,cardiology,pass,"{""icd_code"":""I10"",""description"":""Essential hypertension""}"
c8,cardiology,pass,"{""icd_code"":""I42.0"",""description"":""Dilated cardiomyopathy""}"
c9,cardiology,needs_revision,"{""icd_code"":""I35.0"",""description"":""Aortic valve stenosis""}"
c10,cardiology,pass,"{""icd_code"":""I20.9"",""description"":""Angina pectoris unspecified""}"
o1,oncology,pass,"{""icd_code"":""C34.10"",""description"":""Malignant neoplasm of upper lobe bronchus""}"
o2,oncology,needs_revision,"{""icd_code"":""C50.911"",""description"":""Malignant neoplasm of right breast""}"
o3,oncology,pass,"{""icd_code"":""C61"",""description"":""Malignant neoplasm of prostate""}"
o4,oncology,needs_revision,"{""icd_code"":""C18.9"",""description"":""Malignant neoplasm of colon unspecified""}"
o5,oncology,pass,"{""icd_code"":""C91.00"",""description"":""Acute lymphoblastic leukemia""}"
o6,oncology,needs_revision,"{""icd_code"":""C43.9"",""description"":""Malignant melanoma unspecified""}"
o7,oncology,pass,"{""icd_code"":""C34.90"",""description"":""Malignant neoplasm of bronchus and lung""}"
o8,oncology,pass,"{""icd_code"":""C80.1"",""description"":""Malignant neoplasm site unspecified""}"
o9,oncology,needs_revision,"{""icd_code"":""C56.9"",""description"":""Malignant neoplasm of ovary""}"
o10,oncology,pass,"{""icd_code"":""C85.90"",""description"":""Non-Hodgkin lymphoma unspecified""}"
p1,psychiatry,needs_revision,"{""icd_code"":""F32.1"",""description"":""Major depressive disorder moderate""}"
p2,psychiatry,pass,"{""icd_code"":""F41.1"",""description"":""Generalized anxiety disorder""}"
p3,psychiatry,needs_revision,"{""icd_code"":""F20.9"",""description"":""Schizophrenia unspecified""}"
p4,psychiatry,pass,"{""icd_code"":""F31.9"",""description"":""Bipolar disorder unspecified""}"
p5,psychiatry,needs_revision,"{""icd_code"":""F43.10"",""description"":""PTSD unspecified""}"
p6,psychiatry,pass,"{""icd_code"":""F10.10"",""description"":""Alcohol use disorder mild""}"
p7,psychiatry,pass,"{""icd_code"":""F90.0"",""description"":""ADHD predominantly inattentive""}"
p8,psychiatry,needs_revision,"{""icd_code"":""F60.3"",""description"":""Borderline personality disorder""}"
p9,psychiatry,pass,"{""icd_code"":""F50.00"",""description"":""Anorexia nervosa unspecified""}"
p10,psychiatry,pass,"{""icd_code"":""F84.0"",""description"":""Autistic disorder""}"
r1,orthopedics,pass,"{""icd_code"":""M17.11"",""description"":""Primary osteoarthritis right knee""}"
r2,orthopedics,pass,"{""icd_code"":""M54.5"",""description"":""Low back pain""}"
r3,orthopedics,needs_revision,"{""icd_code"":""S72.001A"",""description"":""Fracture femur neck""}"
r4,orthopedics,pass,"{""icd_code"":""M75.1"",""description"":""Rotator cuff syndrome""}"
r5,orthopedics,pass,"{""icd_code"":""M47.812"",""description"":""Spondylosis cervical""}"
r6,orthopedics,needs_revision,"{""icd_code"":""M16.11"",""description"":""Primary osteoarthritis right hip""}"
r7,orthopedics,pass,"{""icd_code"":""M79.3"",""description"":""Panniculitis""}"
r8,orthopedics,pass,"{""icd_code"":""M25.511"",""description"":""Pain in right shoulder""}"
r9,orthopedics,needs_revision,"{""icd_code"":""M48.06"",""description"":""Spinal stenosis lumbar""}"
r10,orthopedics,pass,"{""icd_code"":""M06.9"",""description"":""Rheumatoid arthritis unspecified""}"
e1,endocrinology,needs_revision,"{""icd_code"":""E11.22"",""description"":""T2DM with CKD stage 3""}"
e2,endocrinology,pass,"{""icd_code"":""E03.9"",""description"":""Hypothyroidism unspecified""}"
e3,endocrinology,needs_revision,"{""icd_code"":""E10.65"",""description"":""T1DM with hyperglycemia""}"
e4,endocrinology,pass,"{""icd_code"":""E66.01"",""description"":""Morbid obesity BMI>=40""}"
e5,endocrinology,pass,"{""icd_code"":""E11.9"",""description"":""T2DM without complication""}"
e6,endocrinology,needs_revision,"{""icd_code"":""E05.00"",""description"":""Thyrotoxicosis with diffuse goiter""}"
e7,endocrinology,pass,"{""icd_code"":""E28.2"",""description"":""Polycystic ovarian syndrome""}"
e8,endocrinology,pass,"{""icd_code"":""E26.01"",""description"":""Primary hyperaldosteronism""}"
e9,endocrinology,needs_revision,"{""icd_code"":""E13.40"",""description"":""Diabetes with diabetic neuropathy unspecified""}"
e10,endocrinology,pass,"{""icd_code"":""E55.9"",""description"":""Vitamin D deficiency unspecified""}"
